iter	Passed	Remaining
293	1428	1000
294	1432	995
295	1436	990
296	1440	984
297	1445	979
298	1449	974
299	1454	969
300	1457	963
301	1461	958
302	1465	952
303	1469	947
304	1473	942
305	1479	937
306	1485	933
307	1492	930
308	1497	925
309	1503	921
310	1509	917
311	1514	912
312	1518	907
313	1521	901
314	1526	896
315	1530	891
316	1534	886
317	1538	880
318	1543	875
319	1548	870
320	1551	865
321	1555	859
322	1559	854
323	1562	848
324	1567	843
325	1571	838
326	1575	833
327	1580	828
328	1585	823
329	1590	819
330	1595	814
331	1598	809
332	1604	804
333	1608	799
334	1612	794
335	1619	790
336	1622	784
337	1626	779
338	1630	774
339	1634	769
340	1637	763
341	1642	758
342	1646	753
343	1649	748
344	1654	743
345	1658	738
346	1662	732
347	1665	727
348	1669	722
349	1674	717
350	1678	712
351	1684	708
352	1689	703
353	1692	698
354	1696	692
355	1701	688
356	1704	682
357	1709	678
358	1713	672
359	1718	668
360	1725	664
361	1731	660
362	1735	655
363	1740	650
364	1743	644
365	1748	640
366	1754	635
367	1758	630
368	1765	626
369	1769	621
370	1774	616
371	1781	613
372	1795	611
373	1799	606
374	1802	600
375	1806	595
376	1811	590
377	1815	585
378	1818	580
379	1823	575
380	1827	570
381	1832	565
382	1836	561
383	1841	556
384	1844	550
385	1849	546
386	1853	541
387	1858	536
388	1861	531
389	1865	526
390	1869	521
391	1874	516
392	1878	511
393	1883	506
394	1898	504
395	1905	500
396	1910	495
397	1914	490
398	1920	486
399	1925	481
400	1929	476
401	1932	471
402	1937	466
403	1941	461
404	1944	456
405	1949	451
406	1953	446
407	1958	441
408	1965	437
409	1972	432
410	1976	427
411	1981	423
412	1986	418
413	1990	413
414	1994	408
415	2001	404
416	2005	399
417	2009	394
418	2014	389
419	2019	384
420	2023	379
421	2026	374
422	2032	369
423	2035	364
424	2039	359
425	2044	355
426	2049	350
427	2053	345
428	2056	340
429	2060	335
430	2064	330
431	2068	325
432	2072	320
433	2078	316
434	2082	311
435	2087	306
436	2091	301
437	2097	296
438	2101	291
439	2106	287
440	2112	282
441	2117	277
